,RMSD_6eqe_1
855,0.22534582
856,0.21542281
857,0.22635935
858,0.2218137
859,0.22088665
860,0.22927195
861,0.22756001
862,0.21807717
863,0.22615093
864,0.22770447
865,0.22758578
866,0.2234419
867,0.22356164
868,0.22679587
869,0.2139612
870,0.21869348
871,0.21068723
872,0.22273345
873,0.21167101
874,0.2046268
875,0.20669916
876,0.21435875
877,0.22812948
878,0.22621967
879,0.2189323
880,0.22824566
881,0.21157464
882,0.21321766
883,0.232888
884,0.22899382
885,0.20712912
886,0.21386944
887,0.20507973
888,0.20942152
889,0.23277742
890,0.21332763
891,0.21004744
892,0.20458318
893,0.2004788
894,0.20652397
895,0.21648869
896,0.20960887
897,0.21294731
898,0.19940022
899,0.19670117
900,0.20313142
901,0.20128714
902,0.19387256
903,0.2083733
904,0.19619901
905,0.20621641
906,0.19115013
907,0.21186481
908,0.21361661
909,0.21332763
910,0.22497222
911,0.20618056
912,0.21681108
913,0.2067115
914,0.2010134
915,0.2135044
916,0.22701046
917,0.2045944
918,0.1820395
919,0.19252542
920,0.20012629
921,0.20953712
922,0.22983938
923,0.21249434
924,0.20242998
925,0.20791528
926,0.2405519
927,0.22725736
928,0.22099741
929,0.21460478
930,0.20368034
931,0.20143272
932,0.21896721
933,0.19649242
934,0.18393405
935,0.18889377
936,0.20218427
937,0.19102608
938,0.19549745
939,0.18426774
940,0.17678823
941,0.16825989
942,0.17485416
943,0.16925983
944,0.160627
945,0.15910101
946,0.1634773
947,0.16020271
948,0.16402215
949,0.15720068
950,0.15716176
951,0.15903851
952,0.1620002
953,0.16154008
954,0.16067936
955,0.16404545
956,0.17061736
957,0.165512
958,0.16412935
959,0.16169307
960,0.16946453
961,0.15777205
962,0.16879082
963,0.16678694
964,0.15861963
965,0.16130479
966,0.16042215
967,0.16236798
968,0.15816095
969,0.15551822
970,0.16075706
971,0.16452956
972,0.16264407
973,0.16807647
974,0.16624196
975,0.15993677
976,0.16814016
977,0.16248256
978,0.16737737
979,0.16120678
980,0.16647486
981,0.16478965
982,0.17384094
983,0.17293383
984,0.16037446
985,0.16336188
986,0.16949612
987,0.16780782
988,0.16475251
989,0.163876
990,0.17460616
991,0.17056954
992,0.1699392
993,0.16859135
994,0.16258763
995,0.16587201
996,0.16848244
997,0.16966447
998,0.16807193
999,0.16294001
